Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1698244633.984,1,148.675,NOERROR,292,['142.251.128.78'],
google.com,1698244641.684,1,166.117,NOERROR,284,['142.251.128.78'],
google.com,1698244645.141,1,152.978,NOERROR,280,['142.251.128.78'],
google.com,1698244648.373,1,150.552,NOERROR,277,['142.251.128.78'],
google.com,1698244651.394,1,155.385,NOERROR,274,['142.251.128.78'],
google.com,1698244654.373,1,154.305,NOERROR,271,['142.251.128.78'],
google.com,1698244657.473,1,150.059,NOERROR,268,['142.251.128.78'],
google.com,1698244660.707,1,160.721,NOERROR,265,['142.251.128.78'],
google.com,1698244663.898,1,164.262,NOERROR,261,['142.251.128.78'],
google.com,1698244667.106,1,153.212,NOERROR,258,['142.251.128.78'],
google.com,1698244670.215,1,159.647,NOERROR,255,['142.251.128.78'],
google.com,1698244673.464,1,183.314,NOERROR,252,['142.251.128.78'],
google.com,1698244676.566,1,154.299,NOERROR,249,['142.251.128.78'],
google.com,1698244679.742,1,152.893,NOERROR,245,['142.251.128.78'],
google.com,1698244683.912,1,154.865,NOERROR,241,['142.251.128.78'],
google.com,1698244687.070,1,154.884,NOERROR,239,['142.251.128.78'],
google.com,1698244690.278,1,158.869,NOERROR,235,['142.251.128.78'],
google.com,1698244693.404,1,164.423,NOERROR,232,['142.251.128.78'],
google.com,1698244696.514,1,151.166,NOERROR,229,['142.251.128.78'],
google.com,1698244699.511,1,154.571,NOERROR,226,['142.251.128.78'],
google.com,1698244702.478,1,153.456,NOERROR,223,['142.251.128.78'],
google.com,1698244705.638,1,155.757,NOERROR,220,['142.251.128.78'],
google.com,1698244708.619,1,156.265,NOERROR,217,['142.251.128.78'],
google.com,1698244711.746,1,152.325,NOERROR,214,['142.251.128.78'],
google.com,1698244715.108,1,156.510,NOERROR,210,['142.251.128.78'],
google.com,1698244718.406,1,157.418,NOERROR,207,['142.251.128.78'],
google.com,1698244721.734,1,163.535,NOERROR,204,['142.251.128.78'],
google.com,1698244724.756,1,153.915,NOERROR,201,['142.251.128.78'],
google.com,1698244727.871,1,156.211,NOERROR,197,['142.251.128.78'],
google.com,1698244730.937,1,157.399,NOERROR,195,['142.251.128.78'],
google.com,1698244733.945,1,160.347,NOERROR,192,['142.251.128.78'],
google.com,1698244736.880,1,155.950,NOERROR,188,['142.251.128.78'],
google.com,1698244739.923,1,155.701,NOERROR,185,['142.251.128.78'],
google.com,1698244743.467,1,150.478,NOERROR,182,['142.251.128.78'],
google.com,1698244746.931,1,152.846,NOERROR,179,['142.251.128.78'],
google.com,1698244750.238,1,177.648,NOERROR,175,['142.251.128.78'],
google.com,1698244753.523,1,154.061,NOERROR,172,['142.251.128.78'],
google.com,1698244756.685,1,171.170,NOERROR,168,['142.251.128.78'],
google.com,1698244759.748,1,160.074,NOERROR,166,['142.251.128.78'],
google.com,1698244762.875,1,171.903,NOERROR,163,['142.251.128.78'],
google.com,1698244766.126,1,154.328,NOERROR,159,['142.251.128.78'],
google.com,1698244769.208,1,159.205,NOERROR,156,['142.251.128.78'],
google.com,1698244772.223,1,153.510,NOERROR,153,['142.251.128.78'],
google.com,1698244775.199,1,153.124,NOERROR,150,['142.251.128.78'],
google.com,1698244778.154,1,209.244,NOERROR,147,['142.251.128.78'],
google.com,1698244781.306,1,164.385,NOERROR,144,['142.251.128.78'],
google.com,1698244784.558,1,149.179,NOERROR,141,['142.251.128.78'],
google.com,1698244787.660,1,152.857,NOERROR,138,['142.251.128.78'],
google.com,1698244790.749,1,150.524,NOERROR,135,['142.251.128.78'],
google.com,1698244794.201,1,152.798,NOERROR,131,['142.251.128.78'],
google.com,1698244797.256,1,153.018,NOERROR,128,['142.251.128.78'],
google.com,1698244800.206,1,153.718,NOERROR,125,['142.251.128.78'],
google.com,1698244803.323,1,155.602,NOERROR,122,['142.251.128.78'],
google.com,1698244806.528,1,165.618,NOERROR,119,['142.251.128.78'],
google.com,1698244809.646,1,159.300,NOERROR,115,['142.251.128.78'],
google.com,1698244812.844,1,155.182,NOERROR,112,['142.251.128.78'],
google.com,1698244816.012,1,478.274,NOERROR,109,['142.251.128.78'],
google.com,1698244819.438,1,153.227,NOERROR,106,['142.251.128.78'],
google.com,1698244822.566,1,156.501,NOERROR,103,['142.251.128.78'],
google.com,1698244825.569,1,155.270,NOERROR,100,['142.251.128.78'],
google.com,1698244828.616,1,157.523,NOERROR,97,['142.251.128.78'],
google.com,1698244831.617,1,150.794,NOERROR,94,['142.251.128.78'],
google.com,1698244834.892,1,164.182,NOERROR,91,['142.251.128.78'],
google.com,1698244838.198,1,154.704,NOERROR,87,['142.251.128.78'],
google.com,1698244841.240,1,156.567,NOERROR,84,['142.251.128.78'],
google.com,1698244845.836,1,164.236,NOERROR,80,['142.251.128.78'],
