Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1698244632.706,1,169.668,NOERROR,75,['142.250.219.14'],
google.com,1698244641.154,1,154.398,NOERROR,128,['142.250.219.46'],
google.com,1698244644.552,1,155.110,NOERROR,121,['142.250.219.142'],
google.com,1698244647.660,1,215.053,NOERROR,299,['142.250.219.14'],
google.com,1698244650.844,1,157.211,NOERROR,109,['142.251.129.142'],
google.com,1698244653.810,1,158.032,NOERROR,138,['142.250.218.14'],
google.com,1698244656.877,1,158.146,NOERROR,180,['172.217.28.14'],
google.com,1698244660.076,1,162.054,NOERROR,136,['142.251.128.46'],
google.com,1698244663.302,1,167.287,NOERROR,198,['172.217.28.14'],
google.com,1698244666.485,1,167.361,NOERROR,94,['142.250.219.142'],
google.com,1698244669.645,1,156.971,NOERROR,40,['142.250.219.14'],
google.com,1698244672.895,1,163.175,NOERROR,124,['142.251.128.46'],
google.com,1698244676.001,1,162.149,NOERROR,35,['142.250.219.14'],
google.com,1698244679.161,1,158.077,NOERROR,161,['172.217.28.14'],
google.com,1698244683.329,1,157.925,NOERROR,157,['142.250.218.14'],
google.com,1698244686.475,1,160.262,NOERROR,109,['142.251.128.46'],
google.com,1698244689.644,1,159.989,NOERROR,77,['142.251.129.142'],
google.com,1698244692.870,1,154.331,NOERROR,80,['142.250.219.142'],
google.com,1698244695.946,1,181.415,NOERROR,107,['142.250.218.14'],
google.com,1698244698.946,1,162.605,NOERROR,71,['142.250.219.142'],
google.com,1698244701.881,1,155.788,NOERROR,257,['142.250.219.14'],
google.com,1698244705.020,1,168.261,NOERROR,98,['142.251.128.46'],
google.com,1698244708.052,1,159.228,NOERROR,81,['142.250.219.46'],
google.com,1698244711.188,1,159.594,NOERROR,149,['142.250.219.14'],
google.com,1698244714.471,1,157.069,NOERROR,51,['142.251.129.142'],
google.com,1698244717.835,1,159.913,NOERROR,141,['142.250.219.14'],
google.com,1698244721.180,1,160.625,NOERROR,129,['172.217.28.14'],
google.com,1698244724.214,1,157.682,NOERROR,80,['142.250.218.14'],
google.com,1698244727.317,1,155.524,NOERROR,74,['142.250.218.14'],
google.com,1698244730.338,1,162.768,NOERROR,145,['172.217.28.14'],
google.com,1698244733.384,1,171.445,NOERROR,285,['142.250.219.142'],
google.com,1698244736.333,1,157.103,NOERROR,117,['172.217.28.14'],
google.com,1698244739.363,1,171.149,NOERROR,73,['142.251.128.46'],
google.com,1698244742.532,1,159.710,NOERROR,38,['142.251.129.142'],
google.com,1698244746.129,1,151.499,NOERROR,273,['142.250.219.142'],
google.com,1698244749.619,1,154.637,NOERROR,62,['142.250.218.14'],
google.com,1698244752.912,1,156.505,NOERROR,117,['142.250.219.14'],
google.com,1698244756.106,1,161.235,NOERROR,66,['142.251.128.46'],
google.com,1698244759.191,1,154.395,NOERROR,271,['142.250.219.46'],
google.com,1698244762.236,1,167.004,NOERROR,152,['142.251.128.46'],
google.com,1698244765.411,1,167.655,NOERROR,290,['142.251.129.206'],
google.com,1698244768.642,1,157.690,NOERROR,105,['142.250.219.14'],
google.com,1698244771.666,1,159.740,NOERROR,82,['142.250.218.14'],
google.com,1698244774.655,1,158.764,NOERROR,77,['142.250.218.14'],
google.com,1698244777.565,1,155.449,NOERROR,254,['142.250.219.46'],
google.com,1698244780.762,1,160.699,NOERROR,257,['172.217.28.14'],
google.com,1698244783.967,1,154.342,NOERROR,276,['142.251.129.206'],
google.com,1698244787.067,1,159.598,NOERROR,272,['142.251.129.206'],
google.com,1698244790.196,1,166.722,NOERROR,246,['142.250.219.46'],
google.com,1698244793.593,1,167.437,NOERROR,74,['172.217.28.14'],
google.com,1698244796.658,1,156.099,NOERROR,78,['142.250.219.14'],
google.com,1698244799.653,1,156.728,NOERROR,270,['142.250.218.14'],
google.com,1698244802.755,1,156.199,NOERROR,120,['142.251.128.46'],
google.com,1698244805.841,1,167.918,NOERROR,239,['172.217.28.14'],
google.com,1698244809.089,1,157.387,NOERROR,236,['172.217.28.14'],
google.com,1698244812.247,1,162.502,NOERROR,235,['172.217.28.14'],
google.com,1698244815.445,1,153.423,NOERROR,216,['142.251.132.14'],
google.com,1698244818.852,1,165.074,NOERROR,170,['142.250.219.46'],
google.com,1698244821.965,1,157.398,NOERROR,42,['142.250.218.14'],
google.com,1698244825.021,1,156.670,NOERROR,225,['142.250.219.174'],
google.com,1698244828.064,1,156.827,NOERROR,37,['142.250.218.14'],
google.com,1698244831.081,1,153.717,NOERROR,204,['142.251.132.14'],
google.com,1698244834.178,1,152.898,NOERROR,95,['142.251.128.46'],
google.com,1698244837.590,1,166.643,NOERROR,47,['142.250.219.14'],
google.com,1698244840.652,1,160.312,NOERROR,90,['142.251.128.46'],
google.com,1698244845.093,1,194.813,NOERROR,86,['142.251.128.46'],
google.com,1698244848.295,1,194.697,NOERROR,273,['142.250.218.174'],
google.com,1698244851.400,1,155.592,NOERROR,150,['142.250.218.14'],
google.com,1698244854.523,1,155.446,NOERROR,253,['142.250.218.14'],
google.com,1698244857.771,1,155.337,NOERROR,136,['142.250.219.14'],
google.com,1698244861.223,1,171.428,NOERROR,135,['142.250.219.14'],
google.com,1698244864.513,1,161.883,NOERROR,264,['142.250.219.174'],
google.com,1698244867.651,1,154.049,NOERROR,172,['142.251.132.14'],
google.com,1698244870.861,1,158.877,NOERROR,67,['142.251.128.46'],
google.com,1698244873.994,1,164.115,NOERROR,236,['142.250.218.14'],
google.com,1698244877.105,1,166.334,NOERROR,62,['142.251.128.46'],
google.com,1698244880.150,1,174.570,NOERROR,289,['142.250.218.174'],
google.com,1698244883.297,1,157.514,NOERROR,234,['142.250.218.14'],
google.com,1698244886.508,1,160.250,NOERROR,52,['142.251.128.46'],
google.com,1698244889.752,1,159.206,NOERROR,242,['142.250.218.174'],
google.com,1698244892.797,1,160.758,NOERROR,106,['142.250.219.14'],
google.com,1698244895.769,1,157.293,NOERROR,107,['142.250.219.14'],
google.com,1698244899.377,1,154.230,NOERROR,148,['142.251.132.14'],
google.com,1698244902.479,1,154.300,NOERROR,230,['142.250.218.174'],
google.com,1698244905.569,1,167.159,NOERROR,96,['142.250.219.14'],
google.com,1698244908.762,1,167.673,NOERROR,36,['142.251.128.46'],
google.com,1698244911.880,1,161.366,NOERROR,251,['142.250.218.174'],
google.com,1698244915.041,1,157.051,NOERROR,276,['142.251.128.46'],
google.com,1698244918.013,1,158.026,NOERROR,204,['142.250.218.14'],
google.com,1698244921.503,1,179.388,NOERROR,129,['142.250.219.142'],
google.com,1698244925.203,1,156.002,NOERROR,134,['142.250.219.46'],
google.com,1698244928.687,1,153.926,NOERROR,268,['142.250.218.14'],
google.com,1698244932.254,1,276.461,NOERROR,127,['142.250.219.142'],
google.com,1698244935.707,1,155.044,NOERROR,187,['142.250.218.14'],
google.com,1698244939.159,1,163.492,NOERROR,116,['142.251.132.14'],
google.com,1698244942.708,1,153.154,NOERROR,154,['142.251.129.206'],
google.com,1698244945.878,1,156.065,NOERROR,224,['142.250.218.174'],
google.com,1698244949.324,1,155.465,NOERROR,107,['142.251.132.14'],
google.com,1698244953.014,1,176.477,NOERROR,220,['142.250.218.174'],
google.com,1698244956.204,1,162.687,NOERROR,245,['142.251.128.46'],
google.com,1698244959.714,1,182.209,NOERROR,100,['142.251.132.14'],
google.com,1698244963.368,1,154.319,NOERROR,135,['142.251.129.206'],
google.com,1698244966.647,1,152.415,NOERROR,114,['172.217.28.14'],
google.com,1698244970.151,1,165.840,NOERROR,206,['142.250.218.174'],
google.com,1698244973.535,1,158.296,NOERROR,228,['142.251.128.46'],
google.com,1698244977.012,1,152.541,NOERROR,125,['142.251.129.206'],
google.com,1698244980.337,1,156.193,NOERROR,172,['142.250.219.174'],
google.com,1698244983.858,1,154.887,NOERROR,221,['142.251.128.46'],
google.com,1698244987.212,1,157.300,NOERROR,89,['142.250.219.46'],
google.com,1698244990.763,1,152.090,NOERROR,148,['142.250.218.14'],
google.com,1698244995.074,1,159.351,NOERROR,80,['142.250.219.46'],
google.com,1698245001.925,1,153.249,NOERROR,131,['142.250.218.14'],
google.com,1698245005.222,1,155.562,NOERROR,62,['142.251.132.14'],
google.com,1698245008.837,1,155.004,NOERROR,59,['142.251.132.14'],
google.com,1698245012.187,1,272.062,NOERROR,268,['142.250.219.14'],
google.com,1698245015.761,1,158.941,NOERROR,72,['142.250.219.46'],
google.com,1698245019.176,1,154.369,NOERROR,112,['142.250.219.142'],
google.com,1698245022.475,1,159.482,NOERROR,144,['142.250.219.174'],
google.com,1698245025.821,1,152.309,NOERROR,192,['142.251.128.46'],
google.com,1698245029.200,1,161.302,NOERROR,87,['142.251.129.206'],
google.com,1698245032.463,1,154.313,NOERROR,83,['142.251.129.206'],
google.com,1698245035.822,1,158.823,NOERROR,133,['142.250.219.174'],
google.com,1698245039.158,1,162.424,NOERROR,155,['142.250.218.174'],
google.com,1698245042.522,1,154.243,NOERROR,175,['142.251.128.46'],
google.com,1698245045.810,1,155.266,NOERROR,54,['172.217.28.14'],
google.com,1698245049.249,1,156.750,NOERROR,86,['142.250.219.142'],
google.com,1698245052.978,1,159.146,NOERROR,180,['142.251.129.206'],
google.com,1698245056.320,1,153.755,NOERROR,275,['142.250.219.46'],
google.com,1698245059.550,1,160.664,NOERROR,18,['142.251.132.14'],
google.com,1698245062.916,1,155.314,NOERROR,90,['142.250.218.14'],
google.com,1698245066.234,1,153.766,NOERROR,75,['142.250.219.142'],
google.com,1698245069.599,1,151.774,NOERROR,262,['142.250.219.46'],
google.com,1698245072.891,1,154.023,NOERROR,260,['142.250.219.46'],
google.com,1698245076.352,1,152.172,NOERROR,250,['142.251.132.14'],
google.com,1698245079.753,1,157.608,NOERROR,146,['142.250.218.14'],
google.com,1698245083.117,1,153.342,NOERROR,253,['142.250.219.46'],
google.com,1698245086.411,1,155.864,NOERROR,248,['142.250.219.46'],
google.com,1698245089.767,1,163.246,NOERROR,248,['142.250.219.46'],
google.com,1698245093.106,1,154.479,NOERROR,132,['142.251.128.46'],
google.com,1698245096.406,1,151.292,NOERROR,83,['142.250.218.174'],
google.com,1698245099.755,1,167.555,NOERROR,229,['142.251.132.14'],
google.com,1698245103.168,1,157.727,NOERROR,103,['142.250.218.174'],
google.com,1698245106.689,1,151.922,NOERROR,286,['142.251.128.46'],
google.com,1698245110.213,1,153.938,NOERROR,97,['142.250.218.174'],
google.com,1698245113.747,1,154.399,NOERROR,228,['142.250.219.46'],
google.com,1698245117.135,1,153.117,NOERROR,117,['142.251.128.46'],
google.com,1698245120.686,1,160.774,NOERROR,289,['142.250.218.14'],
google.com,1698245124.063,1,157.994,NOERROR,124,['142.251.129.206'],
google.com,1698245127.867,1,152.496,NOERROR,82,['142.250.218.174'],
google.com,1698245131.291,1,153.463,NOERROR,107,['142.251.128.46'],
google.com,1698245134.529,1,153.528,NOERROR,263,['142.251.128.46'],
google.com,1698245137.838,1,152.793,NOERROR,95,['142.251.128.46'],
google.com,1698245141.235,1,155.081,NOERROR,252,['142.250.219.142'],
google.com,1698245144.619,1,152.932,NOERROR,286,['142.250.219.174'],
google.com,1698245148.016,1,155.438,NOERROR,107,['142.251.129.206'],
google.com,1698245151.247,1,160.100,NOERROR,94,['142.250.218.14'],
google.com,1698245154.500,1,156.316,NOERROR,83,['142.250.218.14'],
google.com,1698245159.064,1,153.142,NOERROR,133,['142.250.219.46'],
google.com,1698245162.328,1,152.487,NOERROR,97,['142.251.129.206'],
google.com,1698245166.142,1,154.924,NOERROR,191,['142.250.219.46'],
google.com,1698245169.407,1,155.100,NOERROR,91,['142.251.129.206'],
google.com,1698245172.948,1,153.383,NOERROR,180,['142.250.219.46'],
google.com,1698245176.343,1,152.703,NOERROR,247,['142.250.218.14'],
google.com,1698245179.834,1,154.102,NOERROR,71,['142.250.218.14'],
google.com,1698245183.284,1,160.087,NOERROR,76,['142.251.129.206'],
google.com,1698245186.627,1,153.468,NOERROR,62,['142.251.128.46'],
google.com,1698245189.998,1,156.886,NOERROR,239,['142.250.219.14'],
google.com,1698245193.615,1,154.945,NOERROR,156,['142.251.132.14'],
google.com,1698245196.976,1,155.543,NOERROR,215,['142.251.128.46'],
google.com,1698245200.336,1,152.982,NOERROR,150,['142.251.132.14'],
google.com,1698245203.700,1,153.426,NOERROR,121,['142.250.219.14'],
google.com,1698245207.111,1,155.710,NOERROR,223,['142.250.219.14'],
google.com,1698245210.462,1,162.900,NOERROR,204,['142.251.128.46'],
google.com,1698245214.053,1,161.466,NOERROR,140,['142.251.132.14'],
google.com,1698245217.393,1,162.194,NOERROR,55,['142.251.129.206'],
google.com,1698245220.916,1,153.007,NOERROR,142,['142.250.219.46'],
google.com,1698245224.752,1,154.012,NOERROR,132,['142.251.132.14'],
google.com,1698245228.161,1,152.065,NOERROR,192,['142.251.128.46'],
