Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1698244631.069,1,264.588,,,['142.250.219.238'],
google.com,1698244635.624,1,209.438,,,['142.250.219.238'],
google.com,1698244643.102,1,214.841,,,['142.250.219.238'],
google.com,1698244646.296,1,203.032,,,['142.250.219.238'],
google.com,1698244649.503,1,233.688,,,['142.250.219.238'],
google.com,1698244652.495,1,209.333,,,['142.250.219.238'],
google.com,1698244655.473,1,213.045,,,['142.250.219.238'],
google.com,1698244658.620,1,206.571,,,['142.250.219.238'],
google.com,1698244661.885,1,219.292,,,['142.250.219.238'],
google.com,1698244665.084,1,204.906,,,['142.250.219.238'],
google.com,1698244668.267,1,204.665,,,['142.250.219.238'],
google.com,1698244671.415,1,212.221,,,['142.250.219.238'],
google.com,1698244674.610,1,272.580,,,['142.250.219.238'],
google.com,1698244677.728,1,207.715,,,['142.250.219.238'],
google.com,1698244681.970,1,205.282,,,['142.250.219.238'],
google.com,1698244685.077,1,211.389,,,['142.250.219.238'],
google.com,1698244688.215,1,247.656,,,['142.250.219.238'],
google.com,1698244691.410,1,214.292,,,['142.250.219.238'],
google.com,1698244694.504,1,207.633,,,['142.250.219.238'],
google.com,1698244697.603,1,206.246,,,['142.250.219.238'],
google.com,1698244700.590,1,207.042,,,['142.250.219.238'],
google.com,1698244703.611,1,261.869,,,['142.250.219.238'],
google.com,1698244706.719,1,209.554,,,['142.250.219.238'],
google.com,1698244709.769,1,218.566,,,['142.250.219.238'],
google.com,1698244713.123,1,213.871,,,['142.250.219.238'],
google.com,1698244716.375,1,300.166,,,['142.250.219.238'],
google.com,1698244719.520,1,210.289,,,['142.250.219.238'],
google.com,1698244722.877,1,227.440,,,['142.250.219.238'],
google.com,1698244725.982,1,204.885,,,['142.250.219.238'],
google.com,1698244729.020,1,232.149,,,['142.250.219.238'],
google.com,1698244732.042,1,209.560,,,['142.250.219.238'],
google.com,1698244735.025,1,203.703,,,['142.250.219.238'],
google.com,1698244737.966,1,207.234,,,['142.250.219.238'],
google.com,1698244741.142,1,209.783,,,['142.250.219.238'],
google.com,1698244744.660,1,206.989,,,['142.250.219.238'],
google.com,1698244748.076,1,223.641,,,['142.250.219.238'],
google.com,1698244751.527,1,207.190,,,['142.250.219.238'],
google.com,1698244754.632,1,212.837,,,['142.250.219.238'],
google.com,1698244757.860,1,208.758,,,['142.250.219.14'],
google.com,1698244760.884,1,214.343,,,['142.250.219.14'],
google.com,1698244764.038,1,205.728,,,['142.250.219.14'],
google.com,1698244767.266,1,232.024,,,['142.250.219.14'],
google.com,1698244770.351,1,212.414,,,['142.250.219.14'],
google.com,1698244773.288,1,209.748,,,['142.250.219.14'],
google.com,1698244776.287,1,207.999,,,['142.250.219.14'],
google.com,1698244779.434,1,220.003,,,['142.250.219.14'],
google.com,1698244782.457,1,239.017,,,['142.250.219.14'],
google.com,1698244785.657,1,226.000,,,['142.250.219.14'],
google.com,1698244788.800,1,221.524,,,['142.250.219.14'],
google.com,1698244791.831,1,642.898,,,['142.250.219.14'],
google.com,1698244795.291,1,204.565,,,['142.250.219.14'],
google.com,1698244798.354,1,209.912,,,['142.250.219.14'],
google.com,1698244801.331,1,214.260,,,['142.250.219.14'],
google.com,1698244804.454,1,240.370,,,['142.250.219.14'],
google.com,1698244807.756,1,217.108,,,['142.250.219.14'],
google.com,1698244810.801,1,248.733,,,['142.250.219.14'],
google.com,1698244814.018,1,238.009,,,['142.250.219.14'],
google.com,1698244817.448,1,204.587,,,['142.250.219.14'],
google.com,1698244820.602,1,205.231,,,['142.250.219.14'],
google.com,1698244823.672,1,206.245,,,['142.250.219.14'],
google.com,1698244826.724,1,208.952,,,['142.250.219.14'],
google.com,1698244829.760,1,206.720,,,['142.250.219.14'],
google.com,1698244832.833,1,225.135,,,['142.250.219.14'],
google.com,1698244836.160,1,232.895,,,['142.250.219.14'],
google.com,1698244839.334,1,204.029,,,['142.250.219.14'],
google.com,1698244842.668,1,1308.588,,,['142.250.219.14'],
google.com,1698244846.928,1,216.993,,,['142.250.219.14'],
google.com,1698244850.064,1,212.342,,,['142.250.219.14'],
google.com,1698244853.183,1,224.396,,,['142.250.219.14'],
google.com,1698244856.376,1,265.679,,,['142.250.219.14'],
google.com,1698244859.660,1,206.118,,,['142.250.219.14'],
google.com,1698244862.955,1,345.370,,,['142.250.219.14'],
google.com,1698244866.294,1,216.619,,,['142.250.219.14'],
google.com,1698244869.383,1,253.105,,,['142.250.219.14'],
google.com,1698244872.646,1,215.278,,,['142.250.219.14'],
google.com,1698244875.786,1,218.757,,,['142.250.219.14'],
google.com,1698244878.800,1,202.796,,,['142.250.219.14'],
google.com,1698244881.920,1,214.607,,,['142.250.219.14'],
google.com,1698244884.972,1,223.448,,,['142.250.219.14'],
google.com,1698244888.351,1,266.458,,,['142.250.219.14'],
google.com,1698244891.479,1,206.018,,,['142.250.219.14'],
google.com,1698244894.471,1,206.319,,,['142.250.219.14'],
google.com,1698244897.795,1,259.005,,,['142.250.219.14'],
google.com,1698244901.166,1,204.759,,,['142.250.219.14'],
google.com,1698244904.229,1,212.709,,,['142.250.219.14'],
google.com,1698244907.348,1,248.716,,,['142.250.219.14'],
google.com,1698244910.515,1,204.133,,,['142.250.219.14'],
google.com,1698244913.675,1,203.576,,,['142.250.219.14'],
google.com,1698244916.687,1,213.257,,,['142.250.219.14'],
google.com,1698244919.845,1,219.799,,,['142.250.219.14'],
google.com,1698244923.678,1,233.019,,,['142.250.219.14'],
google.com,1698244927.156,1,237.298,,,['142.250.219.14'],
google.com,1698244930.577,1,274.743,,,['142.250.219.14'],
google.com,1698244934.230,1,240.254,,,['142.250.219.14'],
google.com,1698244937.572,1,242.092,,,['142.250.219.14'],
google.com,1698244941.188,1,239.093,,,['142.250.219.14'],
google.com,1698244944.460,1,226.940,,,['142.250.219.14'],
google.com,1698244947.706,1,235.007,,,['142.250.219.14'],
google.com,1698244951.187,1,217.122,,,['142.250.219.14'],
google.com,1698244954.808,1,215.333,,,['142.250.219.14'],
google.com,1698244958.105,1,294.163,,,['142.250.219.14'],
google.com,1698244961.688,1,363.095,,,['142.250.219.14'],
google.com,1698244965.190,1,244.463,,,['142.250.219.14'],
google.com,1698244968.617,1,234.338,,,['142.250.219.14'],
google.com,1698244972.008,1,299.663,,,['142.250.219.14'],
google.com,1698244975.499,1,235.561,,,['142.250.219.14'],
google.com,1698244978.860,1,222.691,,,['142.250.219.14'],
google.com,1698244982.346,1,244.394,,,['142.250.219.14'],
google.com,1698244985.709,1,235.536,,,['142.250.219.14'],
google.com,1698244989.202,1,231.226,,,['142.250.219.14'],
google.com,1698244992.713,1,239.189,,,['142.250.219.14'],
google.com,1698245000.386,1,243.939,,,['142.250.219.14'],
google.com,1698245003.740,1,232.891,,,['142.250.219.14'],
google.com,1698245007.240,1,237.477,,,['142.250.219.14'],
google.com,1698245010.585,1,237.543,,,['142.250.219.14'],
google.com,1698245014.233,1,243.148,,,['142.250.219.14'],
