Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1695128107.659,1,310.037,,,['142.251.132.238'],
google.com,1695128112.302,1,109.261,,,['142.251.129.174'],
google.com,1695128113.983,1,117.135,,,['216.58.222.14'],
google.com,1695128115.548,1,134.761,,,['142.251.129.174'],
google.com,1695128123.004,1,74.084,,,['142.251.132.46'],
google.com,1695128127.357,1,71.972,,,['142.251.129.174'],
google.com,1695128155.416,-1,3060.799,,,[],"Command '['/usr/bin/dig', '@8.8.8.8', 'google.com', 'A', '+short', '+tries=1', '+timeout=3']' returned non-zero exit status 9."
google.com,1695128168.610,1,70.644,,,['216.58.222.14'],
google.com,1695128173.053,1,57.517,,,['216.58.222.14'],
google.com,1695128174.541,1,65.312,,,['216.58.222.14'],
google.com,1695128182.207,1,83.251,,,['216.58.222.14'],
google.com,1695128186.747,-1,3045.446,,,[],"Command '['/usr/bin/dig', '@8.8.8.8', 'google.com', 'A', '+short', '+tries=1', '+timeout=3']' returned non-zero exit status 9."
google.com,1695128191.067,1,80.888,,,['142.251.132.238'],
google.com,1695128201.200,1,55.227,,,['142.251.129.174'],
google.com,1695128202.827,-1,3065.528,,,[],"Command '['/usr/bin/dig', '@8.8.8.8', 'google.com', 'A', '+short', '+tries=1', '+timeout=3']' returned non-zero exit status 9."
google.com,1695128207.583,1,109.772,,,['172.217.162.206'],
google.com,1695128209.146,1,54.541,,,['142.251.129.174'],
google.com,1695128210.580,1,58.729,,,['142.251.132.238'],
google.com,1695128214.792,1,79.147,,,['142.251.132.46'],
google.com,1695128222.114,1,64.146,,,['216.58.222.14'],
google.com,1695128223.670,1,73.080,,,['142.251.129.174'],
google.com,1695128228.285,1,186.351,,,['142.251.129.174'],
google.com,1695128235.951,1,70.851,,,['142.251.132.238'],
google.com,1695128237.399,1,89.218,,,['216.58.222.14'],
google.com,1695128239.129,1,56.904,,,['216.58.222.14'],
google.com,1695128240.405,1,121.404,,,['216.58.222.14'],
google.com,1695128242.046,-1,3069.152,,,[],"Command '['/usr/bin/dig', '@8.8.8.8', 'google.com', 'A', '+short', '+tries=1', '+timeout=3']' returned non-zero exit status 9."
google.com,1695128246.520,1,62.205,,,['142.251.129.174'],
google.com,1695128253.850,1,57.271,,,['142.251.132.238'],
google.com,1695128255.279,1,62.762,,,['142.251.129.174'],
google.com,1695128259.739,1,70.937,,,['172.217.162.206'],
google.com,1695128261.068,1,72.937,,,['172.217.162.206'],
google.com,1695128268.596,1,68.729,,,['142.251.132.46'],
google.com,1695128272.856,1,67.133,,,['216.58.222.14'],
google.com,1695128274.364,1,55.204,,,['216.58.222.14'],
google.com,1695128275.963,1,87.666,,,['216.58.222.14'],
google.com,1695128280.444,1,63.559,,,['142.251.132.238'],
google.com,1695128281.668,1,62.279,,,['172.217.162.206'],
google.com,1695128282.919,1,67.021,,,['142.251.129.174'],
google.com,1695128284.178,1,59.935,,,['142.251.132.238'],
google.com,1695128288.501,1,68.781,,,['142.251.132.46'],
google.com,1695128292.712,1,76.507,,,['142.251.132.238'],
google.com,1695128297.103,1,104.102,,,['216.58.222.14'],
google.com,1695128301.941,1,104.938,,,['142.251.129.174'],
google.com,1695128306.429,1,74.682,,,['142.251.132.46'],
google.com,1695128310.848,1,69.619,,,['172.217.162.206'],
google.com,1695128315.412,1,60.839,,,['142.251.129.174'],
google.com,1695128322.977,1,78.382,,,['142.251.129.174'],
google.com,1695128327.243,1,71.287,,,['142.251.129.174'],
