Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1695128111.667,1,33.209,NOERROR,36295,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1695128113.038,1,31.072,NOERROR,36294,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1695128114.950,1,29.080,NOERROR,36293,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128116.352,1,34.598,NOERROR,36290,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128126.773,1,32.117,NOERROR,36281,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128131.082,-1,3003.671,,,[],The DNS operation timed out.
google.com,1695128162.095,1,27.388,NOERROR,36244,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128172.345,1,35.831,NOERROR,36234,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1695128173.771,1,138.678,NOERROR,36233,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1695128181.356,1,141.466,NOERROR,36225,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1695128183.028,1,142.019,NOERROR,36223,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128190.482,1,28.996,NOERROR,36216,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128200.650,1,30.567,NOERROR,36207,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1695128201.935,1,142.003,NOERROR,36205,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128206.761,1,27.189,NOERROR,36201,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128208.351,1,141.641,NOERROR,36198,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128209.876,1,42.450,NOERROR,36197,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1695128214.218,1,24.102,NOERROR,36193,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1695128215.705,1,32.852,NOERROR,36192,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128222.819,1,138.220,NOERROR,36185,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128227.420,1,35.373,NOERROR,36180,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128232.291,1,132.366,NOERROR,36174,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128236.754,1,35.848,NOERROR,36171,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128238.224,1,152.675,NOERROR,36168,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128239.799,1,32.999,NOERROR,36168,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128241.207,1,34.890,NOERROR,36165,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1695128245.991,1,35.378,NOERROR,36160,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128250.323,-1,3002.920,,,[],The DNS operation timed out.
google.com,1695128254.593,1,34.364,NOERROR,36152,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128256.150,-1,3003.570,,,[],The DNS operation timed out.
google.com,1695128260.472,1,28.160,NOERROR,36147,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1695128261.887,1,136.578,NOERROR,36146,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128269.354,-1,3004.042,,,[],The DNS operation timed out.
google.com,1695128273.624,1,30.864,NOERROR,36133,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128275.212,1,139.127,NOERROR,36131,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128279.692,1,143.130,NOERROR,36127,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1695128281.153,1,28.279,NOERROR,36125,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128282.364,1,29.969,NOERROR,36125,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1695128283.612,1,35.851,NOERROR,36124,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128287.834,1,141.707,NOERROR,36119,"['ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1695128289.259,1,34.628,NOERROR,36118,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128296.535,1,31.552,NOERROR,36110,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128301.034,1,33.913,NOERROR,36105,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128305.825,1,32.802,NOERROR,36102,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1695128310.224,1,32.064,NOERROR,36096,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1695128314.640,1,144.608,NOERROR,36093,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1695128319.175,1,134.180,NOERROR,36088,"['ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1695128323.702,-1,3003.556,,,[],The DNS operation timed out.
google.com,1695128327.963,1,34.231,NOERROR,36080,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128335.445,1,25.641,NOERROR,36071,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128339.777,-1,3001.532,,,[],The DNS operation timed out.
google.com,1695128347.213,-1,3003.718,,,[],The DNS operation timed out.
google.com,1695128354.442,1,30.123,NOERROR,36053,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1695128358.944,1,141.018,NOERROR,36048,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128369.598,1,142.510,NOERROR,36037,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1695128374.281,1,27.243,NOERROR,36032,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128378.707,1,33.200,NOERROR,36029,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128380.117,1,136.002,NOERROR,36027,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1695128381.561,1,32.982,NOERROR,36026,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1695128383.024,-1,3004.163,,,[],The DNS operation timed out.
google.com,1695128387.417,-1,3004.180,,,[],The DNS operation timed out.
google.com,1695128394.913,1,33.607,NOERROR,36012,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1695128402.390,1,67.413,NOERROR,36004,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
