Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1694696514.072,1,22.186,NOERROR,35895,"['ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1694696528.403,1,186.597,NOERROR,55199,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1694696529.951,1,178.490,NOERROR,55800,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1694696531.669,1,23.629,NOERROR,35873,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1694696536.032,1,467.045,NOERROR,35873,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1694696537.668,1,32.649,NOERROR,35872,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1694696539.074,1,27.824,NOERROR,35865,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1694696543.542,1,22.195,NOERROR,35866,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1694696544.809,1,23.645,NOERROR,35865,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1694696546.507,1,23.414,NOERROR,35863,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1694696547.938,1,25.718,NOERROR,35862,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1694696549.097,1,23.302,NOERROR,35855,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1694696550.362,1,24.159,NOERROR,35854,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1694696551.645,1,25.575,NOERROR,35853,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1694696552.903,1,29.647,NOERROR,35857,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1694696553.928,1,22.767,NOERROR,35856,"['ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1694696554.852,1,19.693,NOERROR,35850,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
