Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1695128108.567,1,37.692,NOERROR,5997,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1695128112.859,1,23.627,NOERROR,3124,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128114.691,1,31.026,NOERROR,14096,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128116.114,1,30.940,NOERROR,5989,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1695128126.561,1,31.855,NOERROR,5979,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1695128127.980,1,30.263,NOERROR,3109,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128161.823,1,77.885,NOERROR,21600,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128169.178,1,33.400,NOERROR,14055,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128173.567,1,34.499,NOERROR,5676,"['ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1695128178.107,-1,3002.902,,,[],The DNS operation timed out.
google.com,1695128182.826,1,35.464,NOERROR,3054,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128190.262,1,27.176,NOERROR,14018,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128194.537,-1,3004.271,,,[],The DNS operation timed out.
google.com,1695128201.719,1,34.273,NOERROR,14023,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128206.576,1,33.610,NOERROR,14004,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128208.159,1,32.859,NOERROR,14809,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128209.653,1,29.063,NOERROR,2418,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1695128211.070,-1,3003.226,,,[],The DNS operation timed out.
google.com,1695128215.537,1,30.469,NOERROR,13995,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1695128222.616,1,31.029,NOERROR,7273,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1695128227.185,1,30.948,NOERROR,13981,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128231.985,1,148.794,NOERROR,21600,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1695128236.515,1,32.976,NOERROR,13972,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128238.016,1,30.796,NOERROR,13970,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1695128239.614,1,27.771,NOERROR,5866,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
