Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1698244631.894,1,262.709,NOERROR,172,['142.251.132.46'],
google.com,1698244640.529,1,207.880,NOERROR,273,['142.251.132.46'],
google.com,1698244643.859,1,211.313,NOERROR,275,['142.251.132.46'],
google.com,1698244647.069,1,201.933,NOERROR,254,['142.251.132.46'],
google.com,1698244650.237,1,221.096,NOERROR,247,['142.251.132.46'],
google.com,1698244653.215,1,219.372,NOERROR,245,['142.251.132.46'],
google.com,1698244656.300,1,205.659,NOERROR,242,['142.251.132.46'],
google.com,1698244659.453,1,214.833,NOERROR,182,['142.251.132.46'],
google.com,1698244662.656,1,211.976,NOERROR,179,['142.251.132.46'],
google.com,1698244665.865,1,237.117,NOERROR,150,['142.251.132.46'],
google.com,1698244669.074,1,203.456,NOERROR,232,['142.251.132.46'],
google.com,1698244672.309,1,213.494,NOERROR,241,['142.251.132.46'],
google.com,1698244675.378,1,204.108,NOERROR,166,['142.251.132.46'],
google.com,1698244678.590,1,203.440,NOERROR,219,['142.251.132.46'],
google.com,1698244682.716,1,202.609,NOERROR,272,['142.251.132.46'],
google.com,1698244685.819,1,202.606,NOERROR,166,['142.251.132.46'],
google.com,1698244689.031,1,218.684,NOERROR,265,['142.251.132.46'],
google.com,1698244692.300,1,205.284,NOERROR,149,['142.251.132.46'],
google.com,1698244695.344,1,202.439,NOERROR,206,['142.251.132.46'],
google.com,1698244698.319,1,208.942,NOERROR,199,['142.251.132.46'],
google.com,1698244701.302,1,210.832,NOERROR,200,['142.251.132.46'],
google.com,1698244704.376,1,209.971,NOERROR,197,['142.251.132.46'],
google.com,1698244707.457,1,206.820,NOERROR,206,['142.251.132.46'],
google.com,1698244710.572,1,212.591,NOERROR,187,['142.251.132.46'],
google.com,1698244713.880,1,209.292,NOERROR,184,['142.251.132.46'],
google.com,1698244717.187,1,217.486,NOERROR,180,['142.251.132.46'],
google.com,1698244720.316,1,219.134,NOERROR,177,['142.251.132.46'],
google.com,1698244723.606,1,210.246,NOERROR,196,['142.251.132.46'],
google.com,1698244726.738,1,203.609,NOERROR,78,['142.251.132.46'],
google.com,1698244729.761,1,203.748,NOERROR,225,['142.251.132.46'],
google.com,1698244732.794,1,206.242,NOERROR,165,['142.251.132.46'],
google.com,1698244735.736,1,213.162,NOERROR,162,['142.251.132.46'],
google.com,1698244738.734,1,206.088,NOERROR,216,['142.251.132.46'],
google.com,1698244741.929,1,206.436,NOERROR,155,['142.251.132.46'],
google.com,1698244745.457,1,212.001,NOERROR,59,['142.251.132.46'],
google.com,1698244748.938,1,292.488,NOERROR,149,['142.251.132.46'],
google.com,1698244752.288,1,214.518,NOERROR,161,['142.251.132.46'],
google.com,1698244755.515,1,202.971,NOERROR,49,['142.251.132.46'],
google.com,1698244758.573,1,210.395,NOERROR,161,['142.251.132.46'],
google.com,1698244761.622,1,208.638,NOERROR,202,['142.251.132.46'],
google.com,1698244764.825,1,212.459,NOERROR,247,['142.251.132.46'],
google.com,1698244768.055,1,200.730,NOERROR,73,['142.251.132.46'],
google.com,1698244771.089,1,207.500,NOERROR,81,['142.251.132.46'],
google.com,1698244774.035,1,222.323,NOERROR,145,['142.251.132.46'],
google.com,1698244776.991,1,202.739,NOERROR,142,['142.251.132.46'],
google.com,1698244780.173,1,211.485,NOERROR,106,['142.251.132.46'],
google.com,1698244783.342,1,213.126,NOERROR,118,['142.251.132.46'],
google.com,1698244786.424,1,203.977,NOERROR,18,['142.251.132.46'],
google.com,1698244789.546,1,207.408,NOERROR,112,['142.251.132.46'],
google.com,1698244792.991,1,210.576,NOERROR,104,['142.251.132.46'],
