Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1704818483.942,1,117.562,NOERROR,22722,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818487.147,1,121.987,NOERROR,22722,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818489.982,1,162.747,NOERROR,22716,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818493.290,1,184.377,NOERROR,22716,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818496.429,1,579.281,NOERROR,22713,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818500.442,1,576.777,NOERROR,22706,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818503.979,1,127.886,NOERROR,22702,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818507.076,1,315.252,NOERROR,22699,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818509.911,1,572.879,NOERROR,22696,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818513.698,1,811.827,NOERROR,22692,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818517.631,1,121.369,NOERROR,22689,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818520.881,1,617.398,NOERROR,22685,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818524.109,1,589.786,NOERROR,22682,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818527.319,1,153.148,NOERROR,22682,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818530.508,1,193.940,NOERROR,22676,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818533.385,1,548.943,NOERROR,22676,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818536.848,-1,3004.233,,,[],The DNS operation timed out.
google.com,1704818543.094,1,124.115,NOERROR,22663,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818546.247,1,613.335,NOERROR,22660,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818549.882,1,130.462,NOERROR,22657,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818552.962,1,568.352,NOERROR,22653,"['ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818556.598,1,121.915,NOERROR,22653,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818559.731,1,129.451,NOERROR,22650,"['ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818562.379,1,160.845,NOERROR,22644,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818565.235,1,583.082,NOERROR,22641,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818568.914,1,129.217,NOERROR,22637,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818572.244,1,161.087,NOERROR,22634,"['ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1704818575.165,1,639.650,NOERROR,22634,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818578.355,1,623.267,NOERROR,22631,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818582.541,1,593.685,NOERROR,22624,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818585.736,1,127.779,NOERROR,22624,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818588.758,1,134.444,NOERROR,22621,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818591.922,1,2073.752,NOERROR,22613,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818597.010,1,120.393,NOERROR,22609,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818599.835,1,125.946,NOERROR,22610,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818602.534,1,121.927,NOERROR,22604,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818605.324,1,122.900,NOERROR,22601,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818608.373,1,246.678,NOERROR,22601,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818611.079,1,575.959,NOERROR,22595,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818614.456,1,717.215,NOERROR,22592,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818618.720,1,571.861,NOERROR,22590,"['ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818622.410,1,123.531,NOERROR,22587,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818625.612,1,565.004,NOERROR,22583,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818629.366,1,123.254,NOERROR,22577,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818632.045,1,126.567,NOERROR,22574,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818635.597,1,184.839,NOERROR,22574,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818638.798,1,568.798,NOERROR,22567,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818641.941,1,701.807,NOERROR,22564,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818645.795,1,561.333,NOERROR,22560,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818649.754,1,657.411,NOERROR,22559,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818652.902,1,137.632,NOERROR,22553,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818656.185,1,571.298,NOERROR,22550,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818659.258,1,544.098,NOERROR,22547,"['ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1704818663.048,1,139.676,NOERROR,22546,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818666.015,1,666.312,NOERROR,22543,"['ns3.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1704818670.290,1,569.783,NOERROR,22539,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818673.861,1,590.842,NOERROR,22532,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818677.874,1,122.113,NOERROR,22532,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818680.915,1,223.027,NOERROR,22525,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818683.784,1,577.154,NOERROR,22525,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818687.464,1,579.919,NOERROR,22519,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818691.100,1,154.886,NOERROR,22515,"['ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.']",
google.com,1704818693.811,1,270.793,NOERROR,22516,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818697.344,1,123.006,NOERROR,22512,"['ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818700.397,1,598.944,NOERROR,22506,"['ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818704.461,1,588.402,NOERROR,22505,"['ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818707.954,1,124.293,NOERROR,22501,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818710.719,1,151.944,NOERROR,22496,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818714.139,1,564.231,NOERROR,22492,"['ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818718.141,1,134.665,NOERROR,22491,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818720.779,1,136.944,NOERROR,22489,"['ns1.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818724.689,1,153.787,NOERROR,22482,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818727.929,1,555.906,NOERROR,22478,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818731.105,1,571.890,NOERROR,22475,"['ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818734.824,1,625.517,NOERROR,22471,"['ns4.google.com.', 'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.']",
google.com,1704818738.138,1,279.531,NOERROR,22468,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818740.993,1,163.438,NOERROR,22468,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818744.816,1,182.158,NOERROR,22462,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818747.532,1,122.204,NOERROR,22459,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818750.876,1,174.088,NOERROR,22456,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818754.621,1,571.623,NOERROR,22451,"['ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818758.665,1,180.800,NOERROR,22448,"['ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818762.002,1,581.231,NOERROR,22444,"['ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818765.196,1,569.893,NOERROR,22444,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818768.889,1,122.941,NOERROR,22438,"['ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.']",
google.com,1704818771.925,1,123.246,NOERROR,22434,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818775.095,1,123.056,NOERROR,22434,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818777.761,1,123.362,NOERROR,22429,"['ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.']",
google.com,1704818781.418,1,545.349,NOERROR,22425,"['ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818785.422,1,126.019,NOERROR,22424,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818788.031,1,233.723,NOERROR,22418,"['ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.', 'ns2.google.com.']",
google.com,1704818791.416,1,580.883,NOERROR,22418,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818795.203,1,122.350,NOERROR,22414,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818798.415,1,132.861,NOERROR,22411,"['ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns4.google.com.']",
google.com,1704818801.990,1,120.969,NOERROR,22407,"['ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818805.767,1,131.648,NOERROR,22401,"['ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.']",
google.com,1704818809.415,-1,3004.687,,,[],The DNS operation timed out.
google.com,1704818815.432,1,163.685,NOERROR,22391,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818818.058,1,123.865,NOERROR,22391,"['ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818820.787,1,146.995,NOERROR,22389,"['ns3.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns4.google.com.']",
google.com,1704818824.304,1,224.787,NOERROR,22382,"['ns2.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns3.google.com.']",
google.com,1704818828.362,1,129.184,NOERROR,22378,"['ns1.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
google.com,1704818831.051,1,224.236,NOERROR,22375,"['ns1.google.com.', 'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.']",
google.com,1704818834.269,1,127.290,NOERROR,22375,"['ns2.google.com.', 'ns4.google.com.', 'ns3.google.com.', 'ns1.google.com.']",
google.com,1704818837.617,1,128.590,NOERROR,22369,"['ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.', 'ns3.google.com.']",
