Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1698244631.432,1,252.561,,,['142.250.219.238'],
google.com,1698244635.937,1,4314.285,,,"[';; communications error to 185.228.168.10#443: timed out', '142.250.219.46']",
google.com,1698244643.443,1,229.500,,,['142.250.219.238'],
google.com,1698244646.597,1,266.772,,,['142.250.219.46'],
google.com,1698244649.829,1,223.592,,,['142.250.219.238'],
google.com,1698244652.807,1,225.004,,,['142.250.219.238'],
google.com,1698244655.798,1,284.313,,,['142.250.219.238'],
google.com,1698244658.918,1,284.966,,,['142.250.219.46'],
google.com,1698244662.206,1,257.838,,,['142.250.219.46'],
google.com,1698244665.381,1,230.408,,,['142.250.219.238'],
google.com,1698244668.572,1,305.292,,,['142.250.219.46'],
google.com,1698244671.719,1,391.716,,,['142.250.219.46'],
google.com,1698244674.969,1,229.251,,,['142.250.219.46'],
google.com,1698244678.028,1,376.814,,,['142.250.219.46'],
google.com,1698244682.267,1,260.022,,,['142.250.219.238'],
google.com,1698244685.384,1,234.968,,,['142.250.219.238'],
google.com,1698244688.584,1,258.934,,,['142.250.219.46'],
google.com,1698244691.722,1,353.322,,,['142.250.219.46'],
google.com,1698244694.807,1,345.648,,,['142.250.219.46'],
google.com,1698244697.903,1,228.796,,,['142.250.219.238'],
google.com,1698244700.890,1,222.926,,,['142.250.219.238'],
google.com,1698244703.964,1,225.028,,,['142.250.219.46'],
google.com,1698244707.028,1,238.245,,,['142.250.219.46'],
google.com,1698244710.110,1,267.220,,,['142.250.219.46'],
google.com,1698244713.449,1,223.733,,,['142.250.219.238'],
google.com,1698244716.765,1,223.864,,,['142.250.219.238'],
google.com,1698244719.817,1,310.562,,,['142.250.219.46'],
google.com,1698244723.196,1,224.473,,,['142.250.219.46'],
google.com,1698244726.287,1,247.078,,,['142.250.219.238'],
google.com,1698244729.345,1,230.196,,,['142.250.219.46'],
google.com,1698244732.356,1,235.270,,,['142.250.219.238'],
google.com,1698244735.322,1,225.322,,,['142.250.219.238'],
google.com,1698244738.268,1,263.510,,,['142.250.219.238'],
google.com,1698244741.450,1,262.428,,,['142.250.219.238'],
google.com,1698244744.970,1,250.621,,,['142.250.219.238'],
google.com,1698244748.436,1,282.365,,,['142.250.219.238'],
google.com,1698244751.825,1,261.291,,,['142.250.219.238'],
google.com,1698244754.939,1,379.068,,,['142.250.219.46'],
google.com,1698244758.158,1,235.869,,,['142.250.219.238'],
google.com,1698244761.204,1,225.804,,,['142.250.219.46'],
google.com,1698244764.334,1,290.893,,,['142.250.219.46'],
google.com,1698244767.596,1,276.548,,,['142.250.219.238'],
google.com,1698244770.659,1,242.219,,,['142.250.219.238'],
google.com,1698244773.608,1,231.124,,,['142.250.219.238'],
google.com,1698244776.585,1,223.461,,,['142.250.219.238'],
google.com,1698244779.747,1,239.399,,,['142.250.219.238'],
google.com,1698244782.817,1,307.875,,,['142.250.219.46'],
google.com,1698244785.979,1,248.589,,,['142.250.219.46'],
google.com,1698244789.117,1,223.172,,,['142.250.219.238'],
google.com,1698244792.565,1,227.415,,,['142.250.219.46'],
google.com,1698244795.589,1,238.022,,,['142.250.219.238'],
google.com,1698244798.655,1,233.874,,,['142.250.219.238'],
google.com,1698244801.657,1,297.127,,,['142.250.219.46'],
google.com,1698244804.806,1,268.422,,,['142.250.219.46'],
google.com,1698244808.069,1,235.567,,,['142.250.219.238'],
google.com,1698244811.172,1,279.055,,,['142.250.219.238'],
google.com,1698244814.345,1,228.277,,,['142.250.219.238'],
google.com,1698244817.758,1,232.085,,,['142.250.219.238'],
