Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1704818483.256,1,182.560,,,['142.250.79.46'],
google.com,1704818486.478,1,202.667,,,['142.250.79.46'],
google.com,1704818489.184,1,333.425,,,['142.250.79.46'],
google.com,1704818492.590,1,189.317,,,['142.250.79.46'],
google.com,1704818495.778,1,175.629,,,['142.250.79.46'],
google.com,1704818499.755,1,206.822,,,['142.250.79.46'],
google.com,1704818503.338,1,175.657,,,['142.250.79.46'],
google.com,1704818506.413,1,197.788,,,['142.250.79.46'],
google.com,1704818509.252,1,182.144,,,['142.250.79.46'],
google.com,1704818512.989,1,202.320,,,['142.250.79.46'],
google.com,1704818516.909,1,204.615,,,['142.250.79.46'],
google.com,1704818520.198,1,201.856,,,['142.250.79.46'],
google.com,1704818523.436,1,201.698,,,['142.250.79.46'],
google.com,1704818526.641,1,205.733,,,['142.250.79.46'],
google.com,1704818529.835,1,204.451,,,['142.250.79.46'],
google.com,1704818532.675,1,201.921,,,['142.250.79.46'],
google.com,1704818536.176,1,197.947,,,['142.250.79.46'],
google.com,1704818542.379,1,206.543,,,['142.250.79.46'],
google.com,1704818545.573,1,203.284,,,['142.250.79.46'],
google.com,1704818549.212,1,205.556,,,['142.250.79.46'],
google.com,1704818552.275,1,184.228,,,['142.250.79.46'],
google.com,1704818555.964,1,171.278,,,['142.250.79.46'],
google.com,1704818559.075,1,179.274,,,['142.250.79.46'],
google.com,1704818561.702,1,201.298,,,['142.250.79.46'],
google.com,1704818564.554,1,199.897,,,['142.250.79.46'],
google.com,1704818568.228,1,205.447,,,['142.250.79.46'],
google.com,1704818571.578,1,197.100,,,['142.250.79.46'],
google.com,1704818574.491,1,202.876,,,['142.250.79.46'],
google.com,1704818577.678,1,201.549,,,['142.250.79.46'],
google.com,1704818581.864,1,202.141,,,['142.250.79.46'],
google.com,1704818585.050,1,201.196,,,['142.250.79.46'],
google.com,1704818588.093,1,199.393,,,['142.250.79.46'],
google.com,1704818591.263,1,179.368,,,['142.250.79.46'],
google.com,1704818596.346,1,204.635,,,['142.250.79.46'],
