Domain,Timestamp,Response Status,Response Time,Addresses
1691070036.7852535,google.com,825.953369140625,1,['142.251.128.78']
1691070037.6113513,a-msedge.net,308.312255859375,1,[]
1691070037.9198365,facebook.com,825.052001953125,1,['157.240.12.35']
1691070038.7450023,microsoft.com,367.736572265625,1,"['20.112.250.133', '20.236.44.162', '20.70.246.20', '20.231.239.246', '20.76.201.171']"
1691070039.1128643,amazonaws.com,166.6083984375,1,"['72.21.210.29', '207.171.166.22', '72.21.206.80']"
1691070039.279613,googleapis.com,751.50537109375,1,['142.251.129.164']
1691070040.0312552,apple.com,967.15869140625,1,['17.253.144.10']
1691070040.9985232,youtube.com,1317.837158203125,1,['142.250.79.206']
1691070042.3165429,akamaiedge.net,502.892822265625,1,[]
1691070042.8195493,netflix.com,187.36376953125,1,"['54.237.226.164', '3.230.129.93', '52.3.144.142']"
