Domain,Timestamp,Response Status,Response Time,Addresses
1691070059.2495942,google.com,244.721923828125,1,[';; ERROR: short (< header size) message']
1691070059.494445,a-msedge.net,397.309814453125,1,[';; ERROR: short (< header size) message']
1691070059.8918884,facebook.com,460.435791015625,1,[';; ERROR: short (< header size) message']
1691070060.3524466,microsoft.com,1269.7119140625,1,[';; ERROR: short (< header size) message']
1691070061.6224508,amazonaws.com,10351.965087890625,1,"[';; Connection to 208.67.222.222#443(208.67.222.222) for amazonaws.com failed: timed out.', ';; ERROR: short (< header size) message']"
1691070071.9745471,googleapis.com,325.00341796875,1,[';; ERROR: short (< header size) message']
1691070072.299651,apple.com,251.575439453125,1,[';; ERROR: short (< header size) message']
1691070072.5513327,youtube.com,261.8779296875,1,[';; ERROR: short (< header size) message']
1691070072.813316,akamaiedge.net,245.236083984375,1,[';; ERROR: short (< header size) message']
1691070073.0586286,netflix.com,283.05615234375,1,[';; ERROR: short (< header size) message']
