Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1694695574.711,1,57.478,,,['142.251.128.78'],
google.com,1694695575.930,1,43.380,,,['142.251.128.78'],
google.com,1694695577.243,1,53.737,,,['142.251.128.78'],
google.com,1694695578.701,1,70.823,,,['142.251.128.78'],
google.com,1694695579.925,1,59.518,,,['142.251.128.78'],
google.com,1694695581.275,1,80.304,,,['142.251.128.78'],
google.com,1694695582.815,1,49.966,,,['142.251.128.78'],
google.com,1694695584.134,1,91.630,,,['142.251.128.78'],
google.com,1694695585.409,1,98.413,,,['142.251.128.78'],
google.com,1694695586.681,1,65.469,,,['142.251.128.78'],
google.com,1694695588.217,1,81.374,,,['142.251.128.78'],
google.com,1694695589.484,1,53.096,,,['142.251.128.78'],
google.com,1694695590.564,1,76.297,,,['142.251.128.78'],
google.com,1694695591.483,1,44.294,,,['142.251.128.78'],
google.com,1694695592.420,1,70.885,,,['142.251.128.78'],
google.com,1694695593.662,1,99.025,,,['142.251.128.78'],
google.com,1694695595.254,1,58.795,,,['142.251.128.78'],
google.com,1694695596.469,1,57.129,,,['142.251.128.78'],
google.com,1694695597.626,1,43.671,,,['142.251.128.78'],
google.com,1694695598.745,1,49.609,,,['142.251.128.78'],
google.com,1694695599.784,1,56.486,,,['142.251.128.78'],
google.com,1694695600.742,1,56.418,,,['142.251.128.78'],
google.com,1694695601.909,1,43.766,,,['142.251.128.78'],
google.com,1694695602.942,1,54.937,,,['142.251.128.78'],
google.com,1694695603.978,1,51.623,,,['142.251.128.78'],
google.com,1694695605.257,1,97.466,,,['142.251.128.78'],
google.com,1694695606.200,1,42.771,,,['142.251.128.78'],
google.com,1694695607.093,1,53.824,,,['142.251.128.78'],
google.com,1694695607.933,1,43.420,,,['142.251.128.78'],
google.com,1694695608.948,1,55.302,,,['142.251.128.78'],
google.com,1694695609.929,1,51.846,,,['142.251.128.78'],
google.com,1694695610.979,1,46.923,,,['142.251.128.78'],
google.com,1694695611.958,1,53.408,,,['142.251.128.78'],
google.com,1694695612.930,1,46.528,,,['142.251.128.78'],
google.com,1694695613.797,1,52.267,,,['142.251.128.78'],
google.com,1694695614.815,1,44.519,,,['142.251.128.78'],
google.com,1694695615.738,1,78.841,,,['142.251.128.78'],
google.com,1694695616.769,1,56.953,,,['142.251.128.78'],
google.com,1694695617.727,1,58.669,,,['142.251.128.78'],
google.com,1694695618.749,1,56.471,,,['142.251.128.78'],
google.com,1694695619.720,1,48.652,,,['142.251.128.78'],
google.com,1694695620.784,1,62.072,,,['142.251.128.78'],
