Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1694695574.653,1,57.712,,,['142.250.219.238'],
google.com,1694695575.881,1,49.082,,,['142.250.219.238'],
google.com,1694695577.200,1,43.248,,,['142.250.219.238'],
google.com,1694695578.626,1,73.731,,,['142.250.219.14'],
google.com,1694695579.876,1,47.986,,,['142.250.219.14'],
google.com,1694695581.157,1,117.746,,,['142.250.219.238'],
google.com,1694695582.724,1,90.991,,,['142.250.219.238'],
google.com,1694695583.999,1,132.677,,,['142.250.219.14'],
google.com,1694695585.310,1,96.567,,,['142.250.219.238'],
google.com,1694695586.547,1,133.934,,,['142.250.219.14'],
google.com,1694695588.142,1,74.592,,,['142.250.219.14'],
google.com,1694695589.437,1,46.977,,,['142.250.219.14'],
google.com,1694695590.515,1,47.295,,,['142.250.219.238'],
google.com,1694695591.428,1,55.090,,,['142.250.219.238'],
google.com,1694695592.366,1,52.688,,,['142.250.219.238'],
google.com,1694695593.528,1,131.752,,,['142.250.219.14'],
google.com,1694695595.161,1,92.792,,,['142.250.219.14'],
google.com,1694695596.410,1,58.504,,,['142.250.219.14'],
google.com,1694695597.577,1,48.404,,,['142.250.219.14'],
google.com,1694695598.693,1,51.332,,,['142.250.219.14'],
google.com,1694695599.719,1,64.511,,,['142.250.219.14'],
google.com,1694695600.643,1,97.326,,,['142.250.219.238'],
google.com,1694695601.858,1,50.489,,,['142.250.219.14'],
google.com,1694695602.886,1,55.259,,,['142.250.219.238'],
google.com,1694695603.913,1,63.914,,,['142.250.219.238'],
google.com,1694695605.153,1,102.978,,,['142.250.219.238'],
google.com,1694695606.156,1,44.294,,,['142.250.219.14'],
google.com,1694695607.012,1,79.697,,,['142.250.219.14'],
google.com,1694695607.888,1,44.749,,,['142.250.219.14'],
google.com,1694695608.872,1,76.140,,,['142.250.219.238'],
google.com,1694695609.863,1,65.357,,,['142.250.219.14'],
google.com,1694695610.931,1,46.923,,,['142.250.219.14'],
google.com,1694695611.886,1,71.824,,,['142.250.219.238'],
google.com,1694695612.895,1,35.262,,,['142.250.219.14'],
google.com,1694695613.751,1,45.322,,,['142.250.219.14'],
google.com,1694695614.742,1,72.219,,,['142.250.219.14'],
google.com,1694695615.681,1,56.594,,,['142.250.219.14'],
google.com,1694695616.693,1,75.201,,,['142.250.219.238'],
google.com,1694695617.676,1,50.533,,,['142.250.219.14'],
google.com,1694695618.608,1,140.434,,,['142.250.219.238'],
google.com,1694695619.653,1,66.604,,,['142.250.219.14'],
google.com,1694695620.714,1,69.292,,,['142.250.219.14'],
google.com,1694695621.839,1,99.335,,,['142.250.219.14'],
google.com,1694695622.942,1,78.339,,,['142.250.219.14'],
google.com,1694695623.996,1,46.210,,,['142.250.219.14'],
google.com,1694695624.979,1,42.412,,,['142.250.219.238'],
google.com,1694695625.915,1,67.439,,,['142.250.219.238'],
google.com,1694695626.951,1,127.427,,,['142.250.219.14'],
google.com,1694695628.170,1,43.874,,,['142.250.219.14'],
google.com,1694695629.335,1,88.372,,,['142.250.219.14'],
google.com,1694695630.412,1,108.618,,,['142.250.219.14'],
google.com,1694695631.712,1,177.553,,,['142.250.219.238'],
google.com,1694695632.903,1,56.199,,,['142.250.219.14'],
google.com,1694695633.919,1,65.189,,,['142.250.219.238'],
google.com,1694695634.871,1,71.647,,,['142.250.219.14'],
google.com,1694695635.904,1,88.965,,,['142.250.219.238'],
google.com,1694695636.976,1,46.908,,,['142.250.219.14'],
google.com,1694695637.971,1,76.570,,,['142.250.219.238'],
google.com,1694695639.008,1,52.285,,,['142.250.219.14'],
google.com,1694695639.969,1,62.554,,,['142.250.219.238'],
google.com,1694695641.237,1,121.966,,,['142.250.219.14'],
google.com,1694695642.635,1,110.066,,,['142.250.219.14'],
google.com,1694695643.818,1,101.699,,,['142.250.219.238'],
google.com,1694695644.691,1,135.829,,,['142.250.219.14'],
google.com,1694695645.833,1,56.589,,,['142.250.219.14'],
google.com,1694695646.743,1,89.664,,,['142.250.219.238'],
google.com,1694695647.984,1,107.510,,,['142.250.219.238'],
google.com,1694695649.469,1,77.134,,,['142.250.219.14'],
google.com,1694695650.622,1,44.105,,,['142.250.219.238'],
google.com,1694695651.550,1,55.115,,,['142.250.219.14'],
google.com,1694695652.432,1,45.343,,,['142.250.219.14'],
google.com,1694695653.483,1,54.755,,,['142.250.219.14'],
google.com,1694695654.519,1,44.765,,,['142.250.219.238'],
google.com,1694695655.384,1,40.609,,,['142.250.219.14'],
google.com,1694695656.527,1,104.371,,,['142.250.219.14'],
google.com,1694695657.843,1,49.573,,,['142.250.219.238'],
google.com,1694695658.849,1,107.243,,,['142.250.219.14'],
google.com,1694695660.138,1,70.176,,,['142.250.219.14'],
google.com,1694695661.146,1,53.115,,,['142.250.219.14'],
google.com,1694695662.166,1,69.399,,,['142.250.219.238'],
google.com,1694695663.236,1,56.607,,,['142.250.219.14'],
google.com,1694695664.200,1,80.622,,,['142.250.219.14'],
google.com,1694695665.199,1,73.947,,,['142.250.219.14'],
google.com,1694695666.348,1,62.064,,,['142.250.219.238'],
google.com,1694695667.687,1,82.987,,,['142.250.219.238'],
google.com,1694695668.935,1,109.931,,,['142.250.219.238'],
google.com,1694695669.977,1,88.284,,,['142.250.219.238'],
google.com,1694695671.010,1,79.870,,,['142.250.219.14'],
google.com,1694695675.071,1,51.817,,,['142.250.219.14'],
google.com,1694695676.088,1,45.255,,,['142.250.219.14'],
google.com,1694695676.991,1,55.337,,,['142.250.219.14'],
google.com,1694695678.060,1,95.871,,,['142.250.219.238'],
google.com,1694695679.175,1,95.249,,,['142.250.219.238'],
google.com,1694695680.391,1,88.855,,,['142.250.219.14'],
google.com,1694695681.598,1,68.683,,,['142.250.219.14'],
google.com,1694695682.621,1,57.794,,,['142.250.219.238'],
google.com,1694695683.711,1,76.069,,,['142.250.219.14'],
google.com,1694695684.713,1,89.565,,,['142.250.219.238'],
google.com,1694695685.760,1,95.006,,,['142.250.219.14'],
google.com,1694695686.982,1,49.692,,,['142.250.219.14'],
