Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1694695573.403,1,1029.470,,,['142.251.128.46'],
google.com,1694695575.537,1,102.411,,,['142.251.128.46'],
google.com,1694695576.840,1,162.133,,,['142.251.128.46'],
google.com,1694695578.202,1,109.186,,,['142.251.128.46'],
google.com,1694695579.511,1,125.760,,,['142.251.128.46'],
google.com,1694695580.738,1,164.827,,,['142.251.128.46'],
google.com,1694695582.240,1,130.626,,,['142.251.128.46'],
google.com,1694695583.660,1,70.257,,,['142.251.128.46'],
google.com,1694695585.032,1,54.124,,,['142.251.128.46'],
google.com,1694695586.236,1,59.004,,,['142.251.128.46'],
google.com,1694695587.784,1,58.960,,,['142.251.128.46'],
google.com,1694695589.148,1,97.807,,,['142.251.128.46'],
google.com,1694695590.251,1,65.876,,,['142.251.128.46'],
google.com,1694695591.205,1,43.112,,,['142.251.128.46'],
google.com,1694695592.039,1,79.649,,,['142.251.128.46'],
google.com,1694695593.200,1,67.610,,,['142.251.128.46'],
google.com,1694695594.835,1,70.081,,,['142.251.128.46'],
google.com,1694695595.921,1,102.196,,,['142.251.128.46'],
google.com,1694695597.292,1,51.630,,,['142.251.128.46'],
google.com,1694695598.319,1,99.883,,,['142.251.128.46'],
google.com,1694695599.362,1,49.918,,,['142.251.128.46'],
google.com,1694695600.376,1,49.561,,,['142.251.128.46'],
google.com,1694695601.520,1,91.427,,,['142.251.128.46'],
google.com,1694695602.633,1,57.821,,,['142.251.128.46'],
google.com,1694695603.611,1,55.247,,,['142.251.128.46'],
google.com,1694695604.816,1,75.527,,,['142.251.128.46'],
google.com,1694695605.901,1,48.162,,,['142.251.128.46'],
google.com,1694695606.769,1,46.329,,,['142.251.128.46'],
google.com,1694695607.658,1,45.560,,,['142.251.128.46'],
google.com,1694695608.548,1,95.620,,,['142.251.128.46'],
google.com,1694695609.623,1,48.772,,,['142.251.128.46'],
google.com,1694695610.615,1,85.532,,,['142.251.128.46'],
google.com,1694695611.582,1,48.677,,,['142.251.128.46'],
google.com,1694695612.594,1,54.913,,,['142.251.128.46'],
google.com,1694695613.521,1,43.728,,,['142.251.128.46'],
google.com,1694695614.474,1,60.014,,,['142.251.128.46'],
google.com,1694695615.437,1,51.654,,,['142.251.128.46'],
google.com,1694695616.450,1,49.117,,,['142.251.128.46'],
google.com,1694695617.372,1,51.765,,,['142.251.128.46'],
google.com,1694695618.352,1,48.304,,,['142.251.128.46'],
google.com,1694695619.393,1,58.963,,,['142.251.128.46'],
google.com,1694695620.392,1,60.881,,,['142.251.128.46'],
google.com,1694695621.491,1,88.908,,,['142.251.128.46'],
google.com,1694695622.662,1,60.001,,,['142.251.128.46'],
google.com,1694695623.683,1,53.494,,,['142.251.128.46'],
google.com,1694695624.746,1,58.323,,,['142.251.128.46'],
google.com,1694695625.596,1,101.938,,,['142.251.128.46'],
google.com,1694695626.695,1,58.271,,,['142.251.128.46'],
google.com,1694695627.876,1,55.148,,,['142.251.128.46'],
google.com,1694695628.935,1,86.938,,,['142.251.128.46'],
google.com,1694695630.150,1,50.592,,,['142.251.128.46'],
google.com,1694695631.372,1,114.415,,,['142.251.128.46'],
google.com,1694695632.643,1,43.073,,,['142.251.128.46'],
google.com,1694695633.580,1,50.718,,,['142.251.128.46'],
google.com,1694695634.612,1,34.184,,,['142.251.128.46'],
google.com,1694695635.659,1,48.271,,,['142.251.128.46'],
google.com,1694695636.691,1,51.249,,,['142.251.128.46'],
google.com,1694695637.682,1,56.289,,,['142.251.128.46'],
google.com,1694695638.738,1,57.820,,,['142.251.128.46'],
google.com,1694695639.708,1,46.659,,,['142.251.128.46'],
