Domain,Timestamp,Response Status,Response Time,RCODE,TTL,Addresses,Error
google.com,1694695574.492,1,49.515,,,['142.250.219.142'],
google.com,1694695575.694,1,68.673,,,['142.250.219.142'],
google.com,1694695577.032,1,54.492,,,['142.250.219.142'],
google.com,1694695578.392,1,85.601,,,['142.250.219.142'],
google.com,1694695579.710,1,53.951,,,['142.250.219.142'],
google.com,1694695580.976,1,71.828,,,['142.250.219.142'],
google.com,1694695582.451,1,85.125,,,['142.250.219.142'],
google.com,1694695583.766,1,72.638,,,['142.250.219.142'],
google.com,1694695585.122,1,47.444,,,['142.250.219.142'],
google.com,1694695586.349,1,60.359,,,['142.250.219.142'],
google.com,1694695587.906,1,100.776,,,['142.250.219.142'],
google.com,1694695589.275,1,46.308,,,['142.250.219.142'],
google.com,1694695590.358,1,47.103,,,['142.250.219.142'],
google.com,1694695591.278,1,46.577,,,['142.250.219.142'],
google.com,1694695592.148,1,68.135,,,['142.250.219.142'],
google.com,1694695593.326,1,68.299,,,['142.250.219.142'],
google.com,1694695594.947,1,77.388,,,['142.250.219.142'],
google.com,1694695596.113,1,131.099,,,['142.250.219.142'],
google.com,1694695597.374,1,63.147,,,['142.250.219.142'],
google.com,1694695598.499,1,54.334,,,['142.250.219.142'],
google.com,1694695599.517,1,68.462,,,['142.250.219.142'],
google.com,1694695600.470,1,48.750,,,['142.250.219.142'],
google.com,1694695601.686,1,64.139,,,['142.250.219.142'],
google.com,1694695602.722,1,52.323,,,['142.250.219.142'],
google.com,1694695603.741,1,52.784,,,['142.250.219.142'],
google.com,1694695604.940,1,82.677,,,['142.250.219.142'],
google.com,1694695605.978,1,45.543,,,['142.250.219.142'],
google.com,1694695606.854,1,52.899,,,['142.250.219.142'],
google.com,1694695607.733,1,44.552,,,['142.250.219.142'],
google.com,1694695608.697,1,52.253,,,['142.250.219.142'],
google.com,1694695609.706,1,49.104,,,['142.250.219.142'],
google.com,1694695610.739,1,51.798,,,['142.250.219.142'],
google.com,1694695611.685,1,56.152,,,['142.250.219.142'],
google.com,1694695612.714,1,67.034,,,['142.250.219.142'],
google.com,1694695613.593,1,50.644,,,['142.250.219.142'],
google.com,1694695614.572,1,51.618,,,['142.250.219.142'],
google.com,1694695615.521,1,53.265,,,['142.250.219.142'],
google.com,1694695616.531,1,52.459,,,['142.250.219.142'],
google.com,1694695617.482,1,67.177,,,['142.250.219.142'],
google.com,1694695618.439,1,55.079,,,['142.250.219.142'],
google.com,1694695619.488,1,50.812,,,['142.250.219.142'],
google.com,1694695620.508,1,66.240,,,['142.250.219.142'],
google.com,1694695621.653,1,65.800,,,['142.250.219.142'],
google.com,1694695622.766,1,59.840,,,['142.250.219.142'],
google.com,1694695623.778,1,98.558,,,['142.250.219.142'],
google.com,1694695624.837,1,38.881,,,['142.250.219.142'],
google.com,1694695625.733,1,46.751,,,['142.250.219.142'],
google.com,1694695626.788,1,49.261,,,['142.250.219.142'],
google.com,1694695627.985,1,73.610,,,['142.250.219.142'],
google.com,1694695629.093,1,94.001,,,['142.250.219.142'],
google.com,1694695630.242,1,53.776,,,['142.250.219.142'],
google.com,1694695631.527,1,50.708,,,['142.250.219.142'],
google.com,1694695632.720,1,52.162,,,['142.250.219.142'],
google.com,1694695633.723,1,61.193,,,['142.250.219.142'],
google.com,1694695634.684,1,62.474,,,['142.250.219.142'],
google.com,1694695635.733,1,51.994,,,['142.250.219.142'],
google.com,1694695636.791,1,56.999,,,['142.250.219.142'],
google.com,1694695637.781,1,56.212,,,['142.250.219.142'],
google.com,1694695638.824,1,55.862,,,['142.250.219.142'],
google.com,1694695639.793,1,66.012,,,['142.250.219.142'],
google.com,1694695641.020,1,57.200,,,['142.250.219.142'],
google.com,1694695642.399,1,73.772,,,['142.250.219.142'],
google.com,1694695643.513,1,89.388,,,['142.250.219.142'],
google.com,1694695644.536,1,45.822,,,['142.250.219.142'],
google.com,1694695645.676,1,44.631,,,['142.250.219.142'],
google.com,1694695646.590,1,47.558,,,['142.250.219.142'],
google.com,1694695647.794,1,73.057,,,['142.250.219.142'],
google.com,1694695649.272,1,78.845,,,['142.250.219.142'],
google.com,1694695650.467,1,45.762,,,['142.250.219.142'],
google.com,1694695651.379,1,53.661,,,['142.250.219.142'],
google.com,1694695652.278,1,44.038,,,['142.250.219.142'],
google.com,1694695653.257,1,62.624,,,['142.250.219.142'],
google.com,1694695654.363,1,43.434,,,['142.250.219.142'],
google.com,1694695655.226,1,48.581,,,['142.250.219.142'],
google.com,1694695656.315,1,86.701,,,['142.250.219.142'],
google.com,1694695657.622,1,72.978,,,['142.250.219.142'],
